subject	body	cluster_id
EnronOnline Ticker Announcement	Mike - We spoke briefly on the phone yesterday about creating a ticker story for your new East Power product, but I haven't received any further info from you. If you would like to go ahead with this, please send a brief description of the new product and the date it will be launching on EnronOnline. Thanks, Erica Bess Duncan x3-5159	0
URGENT URGENT URGENT - DRUG TEST	If you have not already taken your drug test , please do so by Tuesday, 5th February. This process needs to be completed and results fed back to UBS prior to your start date. You cannot commence employment with UBS until they have this data which takes approximately 5 days from date of test. If for any reason you cannot take this test by tomorrow, please advise. Also, if you have completed your test please let me know so I can update the UBS records. Regards, Karen.	2
UBS Application	Craig, Some information is missing on your UBS application. Please swing by to complete. (4th Floor, next to Karen Jones's office) __________________________	2
RE: Registration of Enron Corp. on the eLawForum Web Site	Jim, Thank you for your reply. I have noted that Enron has not yet accepted our User Agreement. Let me know if you have any questions or concerns about the agreement. We stand ready to address and resolve any concerns that you or your staff may have. Paul -----Original Message----- From: James.Derrick@enron.com [mailto:James.Derrick@enron.com] Sent: Tuesday, May 22, 2001 4:14 PM To: ppien@elawforum.com Cc: jhenry@elawforum.com; sbwoil@aol.com Subject: RE: Registration of Enron Corp. on the eLawForum Web Site Thank you for the message. Please note for your records, however, that neither I nor Enron has accepted the eLawForum User Agreement and that we have not authorized any individual or entity to accept it on our behalf. Jim Derrick -----Original Message----- From: "Paul Pien" <ppien@elawforum.com>@ENRON [mailto:IMCEANOTES-+22Paul+20Pien+22+20+3Cppien+40elawforum+2Ecom+3E+40ENRON @ENRON.com] Sent: Monday, May 21, 2001 5:04 PM To: Derrick Jr., James Cc: John Henry (E-mail); Steve Wyatt (E-mail) Subject: Registration of Enron Corp. on the eLawForum Web Site James, Per Steve Wyatt's suggestion, I have taken the liberty of registering Enron Corporation on the eLawForum web site. In the course of completing the registration, I accepted the eLawForum User Agreement on behalf of Enron. Please let me know if you have any questions about the User Agreement. We would be happy to address any concerns. I have created the 2 roles for you that are required to use our site. The first role is as "Client Administrator." This role allows you to manage the site, primarily by adding and deleting users and assigning them appropriate roles. Your login name and password for your roles as Client Administrator are: Login - "jderrick" and Password - "enron". Please note that both your login and passwords are case sensitive. I have also created for you the second role of "RFP Administrator." In this role, you can create a new RFP and/or manage existing RFPs. You are required to have a second Login name and Password for this second role. I have assigned you the Login in of "jamesderrick" and Password of "enroncorp" in your role as RFP Administrator. Once again, the login name and password are case sensitive. To logon and begin using the web site, go to www.elawforum.com. Click on "logon" and sign on in your role as RFP Administrator. Let me know if you would like a quick walk through the site. In addition, please contact me when you are ready to post your first RFP. Our service includes providing Enron hands on assistance every step of the way. Sincerely, Paul Pien Vice President eLawForum 1250 24th Street, NW, Suite 350 Washington, DC 20037 Work: 202-466-0520 Fax: 202-466-0583 ppien@elawforum.com www.elawforum.com	2
RE: Quicksilver Resources	Jim, Jeff said that if Jim Derrick is ok with this, he is, too. We're awaiting word from Jim Derrick. SRS	0
FW: Deals to be moved to Bankruptcy Books (From Russell's Exposure Report)	FYI - here is the info I have. As she said, not exactly the answer we wanted. I am still waiting on a final list to cross reference with our calcs. PL	1
-	The Electric Power report was not available, I will check back later and send it if and when it is online.	0
RE: OUTSTANDING COUNTERPARTIES	I also noticed on Inland Paperboard and Packaging, Inc./ENA, CP #66189, we are still waiting for the executed agreement since July 10th. Is it normal for a company to take this long to return the executed agreement? We have set up a global contract number (96063822) to allow them to do on-line trading.	2
FW: Nissho NDA	I wanted to let you know this was coming in as soon as Mark approves the changes. Dealing with Japan is somewhat time challenging.	2
RE: (MS-76) MEMBER FIRM PRIVILEGES	Stephanie, I'm unable to find anything, could be because it's so recent. I don't show that we're doing any business w/ Merrill Lynch Futures, Inc., can't find any record in GCP, so I'm not sure how this would affect us. When I run out of resources, I just call them. Cheryl	1
Transfer IN	Employee name: Howard D. Thames (Davis Thames) Effective date: ? Date position accepted: ? Transfer In/Out: IN Old company name: ECM Treasury (co. 0969) Old company position: Mgr Finance New company name: Enron Opns Svcs (co. 0366 New company position: ??? (probably Mgr Finance) I am waiting on some information and will forward it to you when available. Thanks, Miranda x3-6252	0
